topyoutube
Artist,Total Views
Jhay Cortez,"3,259.3"
Pharrell Williams,"3,258.5"
Evanescence,"3,257.0"
GOT7,"3,241.3"
Green Day,"3,219.4"
Cosculluela,"3,189.6"
Alejandro Sanz,"3,183.5"
Emiway Bantai,"3,168.8"
Pedro Capó,"3,161.3"
Zedd,"3,160.8"
Stromae,"3,151.2"
Lil Peep,"3,142.8"
LP,"3,122.7"
Vishal Dadlani,"3,122.2"
Alicia Keys,"3,101.6"
Luis Miguel,"3,089.7"
Gucci Mane,"3,047.3"
Abba,"3,045.9"
Khea,"3,010.0"
Gerardo Ortiz,"2,993.7"
Ciara,"2,980.9"
James Arthur,"2,980.5"
Naiara Azevedo,"2,973.6"
Gustavo Mioto,"2,969.6"
Tribo da Periferia,"2,968.8"
Armin van Buuren,"2,967.4"
Río Roma,"2,956.2"
Harrdy Sandhu,"2,945.2"
Brytiago,"2,945.0"
Alex Rose,"2,917.0"
Red Velvet,"2,916.9"
Jay Chou,"2,915.2"
Paramore,"2,911.0"
Camila,"2,903.8"
French Montana,"2,902.3"
Soolking,"2,899.9"
The Beatles,"2,893.8"
Aviões do Forró,"2,882.5"
Bryant Myers,"2,878.9"
Bee Gees,"2,854.4"
Ne-Yo,"2,842.2"
La Oreja de Van Gogh,"2,833.9"
Calle 13,"2,830.0"
Mac Miller,"2,813.7"
Gente De Zona,"2,800.3"
Dr. Dre,"2,799.2"
Udit Narayan,"2,798.2"
La Arrolladora Banda El Limón De René Camacho,"2,784.5"
Five Finger Death Punch,"2,784.1"
Greeicy,"2,775.4"
Kratai Phannipha,"2,770.2"
Aerosmith,"2,761.6"
Zoé,"2,756.3"
MAGIC!,"2,746.5"
Soprano,"2,736.2"
Zara Larsson,"2,729.6"
Modern Talking,"2,723.0"
La Trakalosa de Monterrey,"2,721.1"
Aya Nakamura,"2,715.2"
Gabriela Rocha,"2,703.2"
Childish Gambino,"2,699.8"
Labanoon,"2,698.7"
L'Algérino,"2,694.4"
Dilsinho,"2,687.0"
Feid,"2,669.1"
The Cranberries,"2,667.0"
Son Tung M-TP,"2,660.6"
Dimitri Vegas & Like Mike,"2,637.1"
T.I.,"2,632.1"
Ankush Raja,"2,625.1"
Fetty Wap,"2,615.4"
The Lonely Island,"2,603.5"
A$AP Rocky,"2,599.5"
Daft Punk,"2,587.0"
MCs Zaac & Jerry,"2,585.8"
Amr Diab,"2,584.4"
will.i.am,"2,582.0"
Jesús Adrián Romero,"2,577.0"
